,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
10,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",[0.91277703 0.9142796  0.91762609 0.91551054 0.91454487],0.91494762506341,"('course_id', 'source_browser', 'source_server', 'event_access', 'event_discussion', 'event_navigate', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.002057351113315703,0.0016006890611388414,0.0008003445305694207
9,"(0, 1, 3, 4, 5, 6, 7, 8, 9)",[0.91319679 0.9144385  0.91776867 0.91561542 0.9152264 ],0.9152491569764681,"('course_id', 'source_browser', 'event_access', 'event_discussion', 'event_navigate', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.0019366533121929095,0.0015067820713643059,0.0007533910356821529
8,"(0, 1, 3, 5, 6, 7, 8, 9)",[0.91324949 0.91449363 0.91795329 0.91567726 0.91548189],0.9153711118388305,"('course_id', 'source_browser', 'event_access', 'event_navigate', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.0019948837935076513,0.0015520873641080117,0.0007760436820540059
7,"(1, 3, 5, 6, 7, 8, 9)",[0.91328821 0.91449363 0.91795329 0.91567726 0.9155473 ],0.9153919370350208,"('source_browser', 'event_access', 'event_navigate', 'event_page_close', 'event_problem', 'event_video', 'event_wiki')",0.001982741671724637,0.001542640380853042,0.0007713201904265209
6,"(1, 3, 5, 6, 7, 8)",[0.91304968 0.91418376 0.91804565 0.91578122 0.915339  ],0.9152798614148223,"('source_browser', 'event_access', 'event_navigate', 'event_page_close', 'event_problem', 'event_video')",0.0021568079744312503,0.0016780698779631947,0.0008390349389815972
5,"(1, 3, 5, 6, 7)",[0.91272585 0.91392053 0.91800121 0.91543212 0.91498178],0.9150122976202738,"('source_browser', 'event_access', 'event_navigate', 'event_page_close', 'event_problem')",0.0022652221428927114,0.0017624197842118392,0.0008812098921059196
4,"(3, 5, 6, 7)",[0.91173639 0.91318305 0.91733562 0.91526028 0.91415297],0.9143336608365524,"('event_access', 'event_navigate', 'event_page_close', 'event_problem')",0.002436822247407994,0.0018959304953442787,0.0009479652476721394
3,"(5, 6, 7)",[0.91187223 0.91194879 0.9168712  0.91526628 0.91369366],0.9139304304452063,"('event_navigate', 'event_page_close', 'event_problem')",0.0024824268829073,0.0019314124511020958,0.0009657062255510478
2,"(5, 6)",[0.90971015 0.90948506 0.91444231 0.91182109 0.91178566],0.9114488530217469,"('event_navigate', 'event_page_close')",0.0023058250384290816,0.0017940102163529464,0.0008970051081764732
1,"(6,)",[0.90695466 0.9076571  0.9090845  0.90743935 0.90787293],0.9078017102027365,"('event_page_close',)",0.0009125290163233491,0.0007099785763094633,0.00035498928815473163
